Time(s),Axial drift (nm)
47.923962,13.798467
47.973987,32.517741
48.024012,-0.426364
48.074037,78.685469
48.124062,43.367157
48.174087,32.416437
48.224112,14.212852
48.274137,26.088110
48.324162,-13.599761
48.374187,53.585222
48.424212,-33.332107
48.474237,5.152337
48.524262,36.862448
48.574287,-11.965372
48.624312,11.674230
48.674337,44.070900
48.724362,18.826580
48.774387,11.749397
48.824412,-17.576748
48.874437,42.333669
48.924462,-33.387194
48.974487,-5.432253
49.024512,4.149076
49.074537,13.861014
49.124562,33.071751
49.174587,34.317528
49.224612,-3.139919
49.274637,10.947092
49.324662,0.306158
49.374687,45.561258
49.424712,35.719638
49.474737,9.225616
49.524762,38.008280
49.574787,60.361814
49.624812,43.411739
49.674837,46.351925
49.724862,-30.191090
49.774887,-20.975113
49.824912,-37.003675
49.874937,-4.093167
49.924962,-20.325501
49.974987,11.919696
50.025013,-28.764218
50.075038,14.710486
50.125063,14.554730
50.175088,58.492003
50.225113,20.724337
50.275138,8.703551
50.325163,27.247413
50.375188,25.717383
50.425213,53.243013
50.475238,11.575408
50.525263,51.332624
50.575288,-2.207351
50.625313,-36.799021
50.675338,9.024856
50.725363,37.622801
50.775388,-44.557097
50.825413,56.587197
50.875438,1.927597
50.925463,17.588118
50.975488,41.903096
51.025513,-4.713071
51.075538,35.320857
51.125563,-76.688001
51.175588,-64.947898
51.225613,-9.593687
51.275638,-26.622577
51.325663,-1.038064
51.375688,65.038672
51.425713,-72.949470
51.475738,18.723644
51.525763,-12.164789
51.575788,-15.814624
51.625813,27.461202
51.675838,22.102370
51.725863,14.159473
51.775888,18.770451
51.825913,-39.921268
51.875938,66.976219
51.925963,-61.634534
51.975988,20.431396
52.026013,-47.919962
52.076038,-8.978276
52.126063,-33.669658
52.176088,21.819685
52.226113,0.470223
52.276138,-60.479482
52.326163,55.763954
52.376188,-62.556423
52.426213,-36.636975
52.476238,-25.097970
52.526263,23.231681
52.576288,-56.110764
52.626313,-41.524123
52.676338,-11.855611
52.726363,-96.594716
52.776388,-66.866280
52.826413,-30.911322
52.876438,-53.265190
52.926463,21.936228
52.976488,-42.774738
53.026513,30.216527
53.076538,21.254348
53.126563,17.197684
53.176588,-18.172610
53.226613,-29.507427
53.276638,7.058477
53.326663,17.942667
53.376688,33.728778
53.426713,-11.362610
53.476738,31.613807
53.526763,6.107115
53.576788,45.553013
53.626813,19.203443
53.676838,5.580609
53.726863,25.952424
53.776888,-20.122908
53.826913,14.742886
53.876938,-19.954677
53.926963,22.301391
53.976988,-37.189971
54.027014,52.485482
54.077039,4.537368
54.127064,-22.557350
54.177089,14.672901
54.227114,-29.884799
54.277139,-17.468355
54.327164,4.151753
54.377189,22.061188
54.427214,-37.199982
54.477239,-5.742899
54.527264,1.741113
54.577289,-14.801400
54.627314,-88.747046
54.677339,-10.149794
54.727364,39.098047
54.777389,-9.971414
54.827414,29.095423
54.877439,22.205643
54.927464,-15.690552
54.977489,-1.482531
55.027514,-21.296644
55.077539,-56.755271
55.127564,82.877314
55.177589,-22.291818
55.227614,-53.225580
55.277639,-110.184398
55.327664,10.761199
55.377689,40.239818
55.427714,-11.042670
55.477739,-9.857987
55.527764,-7.914377
55.577789,-4.473392
55.627814,-28.726447
55.677839,-57.376171
55.727864,38.313496
55.777889,-19.280326
55.827914,22.697750
55.877939,12.290769
55.927964,79.542034
55.977989,-44.054503
56.028014,23.854535
56.078039,25.067715
56.128064,-14.062552
56.178089,19.514133
56.228114,91.423495
56.278139,16.455951
56.328164,12.763209
56.378189,40.383081
56.428214,5.136479
56.478239,-5.468865
56.528264,-3.976350
56.578289,-19.707041
56.628314,28.856634
56.678339,-22.272508
56.728364,37.151714
56.778389,-47.258240
56.828414,-35.174359
56.878439,-54.500558
56.928464,-36.005971
56.978489,37.203730
57.028514,7.645394
57.078539,9.233356
57.128564,-10.549178
57.178589,-44.874233
57.228614,-26.036506
57.278639,-14.288888
57.328664,16.973600
57.378689,-0.728351
57.428714,2.298152
57.478739,19.001891
57.528764,-41.175211
57.578789,-24.396970
57.628814,-27.840635
57.678839,4.685914
57.728864,21.288277
57.778889,-13.504563
57.828914,-21.670013
57.878939,16.191478
57.928964,18.818728
57.978989,23.696674
58.029015,10.647702
58.079040,10.524829
58.129065,16.751825
58.179090,18.748090
58.229115,46.781322
58.279140,-93.766037
58.329165,1.659877
58.379190,35.405889
58.429215,23.937136
58.479240,38.596996
58.529265,18.141427
58.579290,-5.203863
58.629315,-60.046882
58.679340,82.290950
58.729365,16.570529
58.779390,13.440368
58.829415,-21.288615
58.879440,6.799257
58.929465,-4.860470
58.979490,-2.199628
59.029515,29.647461
59.079540,46.293756
59.129565,12.901122
59.179590,87.068444
59.229615,68.190896
59.279640,4.559780
59.329665,-33.869499
59.379690,13.175201
59.429715,40.387562
59.479740,-0.834146
59.529765,-51.237895
59.579790,33.058028
59.629815,-0.968608
59.679840,-23.481515
59.729865,-5.451296
59.779890,-73.083799
59.829915,-24.808718
59.879940,-13.967086
59.929965,-17.321923
59.979990,5.480901
60.030015,-56.510494
60.080040,52.368487
60.130065,-57.274624
60.180090,-1.316503
60.230115,0.890995
60.280140,-19.643210
60.330165,-29.549362
60.380190,-50.211494
60.430215,-30.837317
60.480240,-12.214643
60.530265,-12.103861
60.580290,-11.758760
60.630315,13.480678
60.680340,-9.785846
60.730365,24.162915
60.780390,-23.695963
60.830415,66.499481
60.880440,-33.486353
60.930465,18.438439
60.980490,-29.829390
61.030515,-78.361011
61.080540,50.324231
61.130565,37.945390
61.180590,13.404414
61.230615,13.309807
61.280640,9.186707
61.330665,-24.987727
61.380690,-17.883733
61.430715,-6.612854
61.480740,19.303056
61.530765,25.946453
61.580790,48.482219
61.630815,21.025562
61.680840,86.614896
61.730865,-0.888422
61.780890,57.632583
61.830915,36.604236
61.880940,48.124792
61.930965,55.974151
61.980990,12.555780
62.031016,7.226229
62.081041,20.655865
62.131066,36.390524
62.181091,45.472590
62.231116,34.649727
62.281141,2.315167
62.331166,40.814326
62.381191,-64.242546
62.431216,62.613401
62.481241,-17.798380
62.531266,-14.178179
62.581291,29.216367
62.631316,-43.289053
62.681341,18.500917
62.731366,4.783493
62.781391,-48.547574
62.831416,-6.947697
62.881441,-38.111806
62.931466,25.855634
62.981491,25.368277
63.031516,-5.708795
63.081541,27.322571
63.131566,20.470845
63.181591,-30.824547
63.231616,41.424484
63.281641,28.580923
63.331666,-25.105479
63.381691,7.873616
63.431716,-0.050088
63.481741,-36.717666
63.531766,-12.703316
63.581791,-29.661648
63.631816,-43.731543
63.681841,67.273904
63.731866,-15.144336
63.781891,-9.130199
63.831916,54.648492
63.881941,43.233968
63.931966,11.374875
63.981991,2.943582
64.032016,23.412291
64.082041,-13.157179
64.132066,90.453446
64.182091,-15.331258
64.232116,0.308575
64.282141,45.177229
64.332166,32.126905
64.382191,4.547260
64.432216,-16.434959
64.482241,-29.003534
64.532266,13.239025
64.582291,23.031914
64.632316,10.719489
64.682341,81.384757
64.732366,-49.244381
64.782391,-37.223516
64.832416,-42.310550
64.882441,23.001553
64.932466,-38.677366
64.982491,-42.672454
65.032516,6.752163
65.082541,-29.114391
65.132566,-5.364082
65.182591,5.643359
65.232616,-29.201604
65.282641,-27.074224
65.332666,-48.470498
65.382691,-52.494879
65.432716,-4.895591
65.482741,5.231207
65.532766,-28.782497
65.582791,5.334367
65.632816,-108.745629
65.682841,-18.511388
65.732866,17.819506
65.782891,-8.243958
65.832916,-36.487519
65.882941,-15.902776
65.932966,64.275989
65.982991,-54.264725
66.033017,19.611200
66.083042,73.526533
66.133067,5.191286
66.183092,15.230975
66.233117,-2.613684
66.283142,-44.858385
66.333167,14.861568
66.383192,45.544848
66.433217,-26.495110
66.483242,-40.822073
66.533267,16.285193
66.583292,79.515567
66.633317,-66.151689
66.683342,-16.683595
66.733367,25.371504
